,0,1
0,dress,10137
1,size,8416
2,love,7734
3,top,7098
4,fit,7040
5,like,6886
6,wear,6318
7,great,5587
8,im,5489
9,would,4989
10,fabric,4685
11,small,4389
12,color,4380
13,look,3928
14,really,3810
15,little,3757
16,ordered,3748
17,perfect,3481
18,one,3436
19,flattering,3312
20,soft,3213
21,well,3009
22,comfortable,2881
23,nice,2870
24,bit,2842
25,bought,2836
26,looks,2812
27,fits,2790
28,back,2787
29,cute,2774
30,large,2706
31,material,2675
32,much,2647
33,beautiful,2640
34,also,2543
35,length,2538
36,shirt,2465
37,sweater,2409
38,got,2347
39,long,2336
40,petite,2282
41,waist,2227
42,jeans,2226
43,colors,2178
44,think,2171
45,medium,2146
46,quality,2133
47,even,2127
48,pretty,2078
49,xs,2049
50,tried,2010
51,work,1997
52,usually,1994
53,retailer,1964
54,skirt,1906
55,store,1903
56,good,1887
57,get,1885
58,could,1849
59,way,1825
60,short,1808
61,pants,1797
62,made,1792
63,dont,1780
64,didnt,1768
65,big,1764
66,cut,1749
67,still,1740
68,black,1684
69,right,1677
70,true,1639
71,runs,1633
72,online,1610
73,super,1582
74,see,1580
75,sleeves,1553
76,style,1546
77,wearing,1511
78,purchased,1466
79,design,1454
80,however,1448
81,feel,1438
82,white,1419
83,enough,1414
84,tight,1393
85,go,1331
86,definitely,1314
87,summer,1313
88,looked,1308
89,front,1296
90,model,1281
91,perfectly,1265
92,lbs,1221
93,blue,1196
94,person,1194
95,though,1177
96,going,1175
97,sale,1175
98,better,1174
99,loved,1146
100,body,1144
101,bottom,1140
102,try,1134
103,jacket,1124
104,worn,1121
105,loose,1120
106,around,1102
107,first,1101
108,regular,1099
109,price,1092
110,many,1086
111,looking,1075
112,make,1065
113,thought,1059
114,time,1047
115,light,1038
116,wanted,1036
117,shape,1034
118,makes,1017
119,chest,1016
120,high,1016
121,arms,1014
122,saw,1002
123,without,995
124,doesnt,994
125,thin,988
126,casual,985
127,fall,982
128,need,969
129,lovely,966
130,shoulders,965
131,went,955
132,want,946
133,run,944
134,bust,944
135,pattern,943
136,found,938
137,side,933
138,piece,932
139,gorgeous,931
140,cant,924
141,find,921
142,pair,919
143,reviews,918
144,wore,910
145,tops,904
146,wish,902
147,blouse,901
148,sure,900
149,bra,899
150,print,874
151,since,873
152,compliments,872
153,usual,870
154,picture,865
155,normally,854
156,weight,854
157,order,847
158,buy,839
159,received,838
160,different,838
161,dresses,830
162,hips,822
163,lot,819
164,longer,803
165,quite,802
166,comfy,800
167,may,800
168,slightly,786
169,detail,782
170,keep,780
171,fitted,780
172,recommend,774
173,ive,772
174,overall,767
175,two,758
176,might,757
177,felt,756
178,nicely,754
179,another,729
180,absolutely,725
181,day,721
182,say,715
183,stretch,711
184,green,710
185,wasnt,709
186,red,702
187,easy,700
188,return,698
189,extra,696
190,probably,694
191,wide,691
192,leggings,690
193,unique,688
194,actually,683
195,lace,680
196,happy,674
197,almost,673
198,boxy,669
199,sizing,667
200,fun,664
201,underneath,660
202,something,659
203,photo,648
204,tank,644
205,warm,640
206,sizes,637
207,dressed,626
208,area,621
209,worth,618
210,feels,617
211,flowy,615
212,smaller,615
213,glad,606
214,sheer,604
215,every,595
216,shorter,595
217,said,594
218,unfortunately,591
219,fine,591
220,pockets,588
221,give,587
222,tall,584
223,put,584
224,tee,584
225,neck,581
226,always,579
227,full,574
228,yet,572
