,0,1
0,"('size', 'NN')",8416
1,"('dress', 'NN')",8219
2,"('color', 'NN')",4183
3,"('love', 'NN')",3586
4,"('fit', 'NN')",3010
5,"('look', 'NN')",2552
6,"('colors', 'NNS')",2174
7,"('jeans', 'NNS')",2173
8,"('length', 'NN')",2053
9,"('fabric', 'NN')",2036
10,"('shirt', 'NN')",2026
11,"('fits', 'NNS')",1970
12,"('material', 'NN')",1936
13,"('sweater', 'NN')",1881
14,"('pants', 'NNS')",1774
15,"('work', 'NN')",1675
16,"('store', 'NN')",1668
17,"('retailer', 'NN')",1667
18,"('skirt', 'NN')",1535
19,"('cute', 'NN')",1457
20,"('waist', 'NN')",1422
21,"('design', 'NN')",1340
22,"('summer', 'NN')",1313
23,"('top', 'NN')",1259
24,"('wear', 'NN')",1252
25,"('sale', 'NN')",1175
26,"('price', 'NN')",1092
27,"('jacket', 'NN')",1076
28,"('model', 'NN')",1070
29,"('time', 'NN')",1047
30,"('xs', 'NNP')",1032
31,"('body', 'NN')",1026
32,"('arms', 'NNS')",1001
33,"('shape', 'NN')",963
34,"('shoulders', 'NNS')",959
35,"('compliments', 'NNS')",856
36,"('picture', 'NN')",815
37,"('fall', 'NN')",766
38,"('online', 'NN')",728
39,"('detail', 'NN')",725
40,"('bra', 'NN')",668
41,"('leggings', 'NNS')",654
42,"('looks', 'NNS')",652
43,"('bottom', 'NN')",646
44,"('perfect', 'NN')",597
45,"('bust', 'NN')",583
46,"('blouse', 'NN')",574
47,"('lace', 'NN')",573
48,"('pockets', 'NNS')",570
49,"('comfy', 'NN')",568
50,"('buttons', 'NNS')",564
51,"('stretch', 'NN')",558
52,"('dresses', 'NNS')",555
53,"('tee', 'NN')",549
54,"('front', 'NN')",545
55,"('weight', 'NN')",534
56,"('reviewers', 'NNS')",509
57,"('problem', 'NN')",501
58,"('thing', 'NN')",498
59,"('details', 'NNS')",495
60,"('room', 'NN')",485
61,"('neck', 'NN')",449
62,"('petite', 'NN')",447
63,"('shorts', 'NNS')",444
64,"('kind', 'NN')",443
65,"('see', 'NN')",443
66,"('cotton', 'NN')",437
67,"('figure', 'NN')",425
68,"('beautiful', 'NN')",423
69,"('thats', 'NNS')",414
70,"('coat', 'NN')",413
71,"('purchase', 'NN')",409
72,"('flattering', 'NN')",400
73,"('chest', 'NN')",398
74,"('super', 'NN')",395
75,"('someone', 'NN')",394
76,"('today', 'NN')",393
77,"('anything', 'NN')",389
78,"('spring', 'NN')",387
79,"('button', 'NN')",377
80,"('light', 'NN')",376
81,"('denim', 'NN')",371
82,"('slip', 'NN')",367
83,"('winter', 'NN')",365
84,"('things', 'NNS')",363
85,"('line', 'NN')",356
86,"('year', 'NN')",351
87,"('knit', 'NN')",334
88,"('brand', 'NN')",333
89,"('boots', 'NNS')",331
90,"('youre', 'NN')",326
91,"('arm', 'NN')",324
92,"('hits', 'NNS')",323
93,"('days', 'NNS')",319
94,"('frame', 'NN')",318
95,"('isnt', 'NN')",318
96,"('suit', 'NN')",317
97,"('sides', 'NNS')",314
98,"('wash', 'NN')",314
99,"('issue', 'NN')",312
100,"('inches', 'NNS')",312
101,"('couldnt', 'NN')",310
102,"('blue', 'NN')",305
103,"('holes', 'NNS')",303
104,"('others', 'NNS')",299
105,"('cami', 'NN')",297
106,"('nothing', 'NN')",291
107,"('embroidery', 'NN')",290
108,"('heels', 'NNS')",284
109,"('years', 'NNS')",284
110,"('xs', 'NN')",283
111,"('weather', 'NN')",277
112,"('plan', 'NN')",268
113,"('layer', 'NN')",267
114,"('straps', 'NNS')",267
115,"('pounds', 'NNS')",267
116,"('version', 'NN')",263
117,"('hangs', 'NNS')",260
118,"('photos', 'NNS')",260
119,"('shoulder', 'NN')",258
120,"('belt', 'NN')",257
121,"('hem', 'NN')",257
122,"('night', 'NN')",256
123,"('show', 'NN')",254
124,"('reviewer', 'NN')",250
125,"('pictures', 'NNS')",247
126,"('drape', 'NN')",247
127,"('tights', 'NNS')",242
128,"('times', 'NNS')",241
129,"('shirts', 'NNS')",240
130,"('grey', 'NN')",239
131,"('orange', 'NN')",237
132,"('review', 'NN')",235
133,"('torso', 'NN')",235
134,"('xl', 'NNP')",233
135,"('xxs', 'NNP')",231
136,"('item', 'NN')",228
137,"('sandals', 'NNS')",222
138,"('drapes', 'NNS')",222
139,"('people', 'NNS')",219
140,"('versatile', 'NN')",219
141,"('fact', 'NN')",215
142,"('clothes', 'NNS')",215
143,"('tshirt', 'NN')",215
144,"('skin', 'NN')",214
145,"('wardrobe', 'NN')",214
146,"('jumpsuit', 'NN')",214
147,"('texture', 'NN')",213
148,"('ill', 'NN')",211
149,"('months', 'NNS')",208
150,"('iti', 'NN')",207
151,"('booties', 'NNS')",203
152,"('knees', 'NNS')",201
153,"('neckline', 'NN')",200
154,"('snug', 'NN')",200
155,"('addition', 'NN')",199
156,"('eye', 'NN')",199
157,"('skirts', 'NNS')",199
158,"('recommend', 'NN')",197
159,"('amount', 'NN')",195
160,"('stretchy', 'NN')",194
161,"('lots', 'NNS')",194
162,"('l', 'NN')",193
163,"('use', 'NN')",192
164,"('reason', 'NN')",192
165,"('hourglass', 'NN')",191
166,"('cozy', 'NN')",191
167,"('sweaters', 'NNS')",191
168,"('mail', 'NN')",190
169,"('feminine', 'NN')",190
170,"('season', 'NN')",185
171,"('tie', 'NN')",185
172,"('pink', 'NN')",184
173,"('curvy', 'NN')",182
174,"('case', 'NN')",179
175,"('maternity', 'NN')",179
176,"('wouldnt', 'NN')",177
177,"('half', 'NN')",176
178,"('home', 'NN')",176
179,"('idea', 'NN')",176
180,"('end', 'NN')",175
181,"('zipper', 'NN')",174
182,"('knee', 'NN')",173
183,"('pilcro', 'NN')",173
184,"('point', 'NN')",171
185,"('cream', 'NN')",170
186,"('thicker', 'NN')",170
187,"('exchange', 'NN')",169
188,"('armholes', 'NNS')",168
189,"('type', 'NN')",168
190,"('hand', 'NN')",167
191,"('dark', 'NN')",165
192,"('pretty', 'NN')",165
193,"('stripes', 'NNS')",165
194,"('curves', 'NNS')",164
195,"('product', 'NN')",164
196,"('pieces', 'NNS')",163
197,"('flats', 'NNS')",163
198,"('items', 'NNS')",161
199,"('ivory', 'NN')",161
200,"('theres', 'NNS')",160
201,"('darker', 'NN')",159
202,"('legs', 'NNS')",159
203,"('wool', 'NN')",157
204,"('office', 'NN')",157
205,"('justice', 'NN')",156
206,"('cardigan', 'NN')",155
207,"('silk', 'NN')",154
208,"('issues', 'NNS')",154
209,"('anyone', 'NN')",152
210,"('opinion', 'NN')",152
211,"('places', 'NNS')",151
212,"('pull', 'NN')",151
213,"('clothing', 'NN')",150
214,"('itchy', 'NN')",150
215,"('roomy', 'NN')",150
216,"('complaint', 'NN')",149
217,"('mine', 'NN')",148
218,"('bottoms', 'NNS')",147
219,"('place', 'NN')",146
220,"('seam', 'NN')",146
221,"('band', 'NN')",146
222,"('bodice', 'NN')",145
223,"('form', 'NN')",145
224,"('sort', 'NN')",144
225,"('mind', 'NN')",144
226,"('transition', 'NN')",144
227,"('spot', 'NN')",143
228,"('throw', 'NN')",142
229,"('peplum', 'NN')",141
230,"('theyre', 'NN')",140
231,"('weekend', 'NN')",140
