NO,word,frequent
0,dress,10137
1,size,8416
2,love,7734
3,top,7098
4,fit,7040
5,like,6886
6,wear,6318
7,great,5587
8,would,4989
9,fabric,4685
10,small,4389
11,color,4380
12,look,3928
13,really,3810
14,little,3757
15,ordered,3748
16,perfect,3481
17,one,3436
18,flattering,3312
19,soft,3213
20,well,3009
21,comfortable,2881
22,nice,2870
23,bit,2842
24,bought,2836
25,looks,2812
26,fits,2790
27,back,2787
28,cute,2774
29,large,2706
30,material,2675
31,much,2647
32,beautiful,2640
33,also,2543
34,length,2538
35,shirt,2465
36,sweater,2409
37,got,2347
38,long,2336
39,petite,2282
40,waist,2227
41,jeans,2226
42,colors,2178
43,think,2171
44,medium,2146
45,quality,2133
46,even,2127
47,pretty,2078
48,xs,2049
49,tried,2010
50,work,1997
51,usually,1994
52,retailer,1964
53,skirt,1906
54,store,1903
55,good,1887
56,get,1885
57,could,1849
58,way,1825
59,short,1808
60,pants,1797
61,made,1792
62,dont,1780
63,didnt,1768
64,big,1764
65,cut,1749
66,still,1740
67,black,1684
68,right,1677
69,TRUE,1639
70,runs,1633
71,online,1610
72,super,1582
73,see,1580
74,sleeves,1553
75,style,1546
76,wearing,1511
77,purchased,1466
78,design,1454
79,however,1448
80,feel,1438
81,white,1419
82,enough,1414
83,tight,1393
84,go,1331
85,definitely,1314
86,summer,1313
87,looked,1308
88,front,1296
89,model,1281
90,perfectly,1265
91,lbs,1221
92,blue,1196
93,person,1194
94,though,1177
95,going,1175
96,sale,1175
97,better,1174
98,loved,1146
99,body,1144
100,bottom,1140
101,try,1134
102,jacket,1124
103,worn,1121
104,loose,1120
105,around,1102
106,first,1101
107,regular,1099
108,price,1092
109,many,1086
110,looking,1075
111,make,1065
112,thought,1059
113,time,1047
114,light,1038
115,wanted,1036
116,shape,1034
117,makes,1017
118,chest,1016
119,high,1016
120,arms,1014
121,saw,1002
122,without,995
123,doesnt,994
124,thin,988
125,casual,985
126,fall,982
127,need,969
128,lovely,966
129,shoulders,965
130,went,955
131,want,946
132,run,944
133,bust,944
134,pattern,943
135,found,938
136,side,933
137,piece,932
138,gorgeous,931
139,cant,924
140,find,921
141,pair,919
142,reviews,918
143,wore,910
144,tops,904
145,wish,902
146,blouse,901
147,sure,900
148,bra,899
149,print,874
150,since,873
151,compliments,872
152,usual,870
153,picture,865
154,normally,854
155,weight,854
156,order,847
157,buy,839
158,received,838
159,different,838
160,dresses,830
161,hips,822
162,lot,819
163,longer,803
164,quite,802
165,comfy,800
166,may,800
167,slightly,786
168,detail,782
169,keep,780
170,fitted,780
171,recommend,774
172,ive,772
173,overall,767
174,two,758
175,might,757
176,felt,756
177,nicely,754
178,another,729
179,absolutely,725
180,day,721
181,say,715
182,stretch,711
183,green,710
184,wasnt,709
185,red,702
186,easy,700
187,return,698
188,extra,696
189,probably,694
190,wide,691
191,leggings,690
192,unique,688
193,actually,683
194,lace,680
195,happy,674
196,almost,673
197,boxy,669
198,sizing,667
199,fun,664
200,underneath,660
201,something,659
202,photo,648
203,tank,644
204,warm,640
205,sizes,637
206,dressed,626
207,area,621
208,worth,618
209,feels,617
210,flowy,615
211,smaller,615
212,glad,606
213,sheer,604
214,every,595
215,shorter,595
216,said,594
217,unfortunately,591
218,fine,591
219,pockets,588
220,give,587
221,tall,584
222,put,584
223,tee,584
224,neck,581
225,always,579
226,full,574
227,yet,572
